customer_id,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
4648-YPBTM,DSL,No,Yes,Yes,Yes,No,Yes
2907-ILJBN,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6345-FZOQH,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3376-BMGFE,Fiber optic,No,No,No,No,No,No
5997-OPVFA,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3445-HXXGF,DSL,No,Yes,Yes,No,No,Yes
1159-WFSGR,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7654-YWJUF,Fiber optic,Yes,No,Yes,Yes,No,No
1875-QIVME,Fiber optic,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,DSL,No,Yes,Yes,Yes,Yes,Yes
0691-JVSYA,Fiber optic,No,No,Yes,No,Yes,Yes
5918-VUKWP,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1744-JHKYS,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2656-FMOKZ,Fiber optic,No,No,No,No,No,No
2070-FNEXE,Fiber optic,Yes,No,No,No,No,No
5947-SGKCL,Fiber optic,No,Yes,Yes,No,Yes,Yes
3712-PKXZA,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6317-YPKDH,DSL,No,Yes,No,No,No,No
6582-OIVSP,DSL,No,No,No,No,No,No
9367-WXLCH,Fiber optic,No,No,No,No,No,Yes
5524-KHNJP,DSL,Yes,No,Yes,No,Yes,Yes
1918-ZBFQJ,Fiber optic,No,Yes,Yes,No,No,No
1024-GUALD,DSL,No,No,No,No,No,No
4827-USJHP,DSL,No,Yes,No,No,No,No
8167-GJLRN,DSL,No,No,No,Yes,No,No
0956-SYCWG,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8017-UVSZU,DSL,No,Yes,No,No,No,No
7100-FQPRV,DSL,Yes,No,No,Yes,No,Yes
2472-OVKUP,Fiber optic,No,Yes,Yes,No,No,Yes
2984-RGEYA,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9680-NIAUV,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2146-EGVDT,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2604-IJPDU,Fiber optic,Yes,Yes,No,Yes,Yes,No
9178-JHUVJ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6168-YBYNP,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7255-SSFBC,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3645-DEYGF,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9323-HGFWY,Fiber optic,Yes,No,No,Yes,Yes,Yes
8544-GOQSH,Fiber optic,No,Yes,No,Yes,No,No
3363-DTIVD,Fiber optic,Yes,No,Yes,No,Yes,Yes
7018-WBJNK,Fiber optic,No,No,No,No,Yes,No
9142-KZXOP,Fiber optic,No,No,No,No,No,No
7674-YTAFD,Fiber optic,No,Yes,No,Yes,No,No
6348-SNFUS,DSL,Yes,Yes,Yes,Yes,No,Yes
1285-OKIPP,Fiber optic,No,No,No,No,No,Yes
7825-ECJRF,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7841-TZDMQ,DSL,No,No,No,No,No,No
4195-NZGTA,DSL,No,No,No,No,No,No
7157-SMCFK,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4709-LKHYG,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2504-DSHIH,Fiber optic,No,No,No,No,No,Yes
0699-NDKJM,DSL,Yes,Yes,Yes,No,Yes,Yes
9286-BHDQG,DSL,Yes,Yes,Yes,Yes,No,No
0230-WEQUW,DSL,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,DSL,No,Yes,Yes,Yes,Yes,Yes
6496-JDSSB,Fiber optic,No,No,No,No,Yes,No
9408-SSNVZ,Fiber optic,No,No,No,No,No,No
4443-EMBNA,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6469-MRVET,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0742-MOABM,DSL,No,No,No,Yes,No,No
5961-VUSRV,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6778-JFCMK,DSL,Yes,No,No,No,Yes,Yes
6341-JVQGF,DSL,Yes,No,Yes,Yes,Yes,Yes
2232-DMLXU,DSL,No,No,No,No,Yes,No
4811-JBUVU,Fiber optic,No,No,No,Yes,No,Yes
0945-TSONX,DSL,Yes,Yes,No,Yes,Yes,Yes
2651-ZCBXV,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3316-UWXUY,Fiber optic,Yes,Yes,No,Yes,No,Yes
8937-RDTHP,Fiber optic,Yes,No,No,No,No,Yes
7083-MIOPC,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1984-GPTEH,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1251-KRREG,DSL,No,Yes,No,No,No,No
0621-JFHOL,DSL,No,No,No,Yes,No,No
9903-LYSAB,Fiber optic,No,No,No,No,No,No
0094-OIFMO,Fiber optic,No,Yes,No,No,Yes,Yes
9227-UAQFT,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7301-ABVAD,DSL,No,Yes,Yes,Yes,Yes,Yes
6614-FHDBO,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7576-ASEJU,DSL,Yes,No,No,Yes,Yes,Yes
9058-HRZSV,Fiber optic,Yes,Yes,Yes,No,No,Yes
4522-AKYLR,DSL,No,Yes,Yes,No,No,No
0221-WMXNQ,Fiber optic,Yes,No,No,No,No,No
0303-UNCIP,DSL,No,No,Yes,No,No,Yes
9947-OTFQU,Fiber optic,No,Yes,No,No,No,No
0322-YINQP,DSL,Yes,No,No,No,No,No
0959-WHOKV,Fiber optic,Yes,Yes,Yes,No,No,Yes
4075-JFPGR,Fiber optic,Yes,Yes,Yes,No,Yes,No
4629-NRXKX,Fiber optic,No,No,No,No,No,No
9514-JDSKI,DSL,No,Yes,No,No,Yes,No
3282-ZISZV,DSL,No,Yes,Yes,Yes,Yes,Yes
3675-YDUPJ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4111-BNXIF,DSL,No,Yes,Yes,Yes,Yes,Yes
7017-VFHAY,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6655-LHBYW,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4959-JOSRX,DSL,No,No,No,No,No,No
5046-NUHWD,DSL,Yes,No,Yes,No,No,Yes
7273-TEFQD,DSL,No,No,Yes,No,No,Yes
3606-TWKGI,Fiber optic,No,Yes,Yes,No,Yes,Yes
7529-ZDFXI,Fiber optic,No,Yes,No,No,No,Yes
7605-BDWDC,DSL,Yes,Yes,No,Yes,No,Yes
1950-KSVVJ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0123-CRBRT,DSL,Yes,Yes,Yes,Yes,Yes,Yes
6292-TOSSS,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197-ARFOY,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
6323-AYBRX,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7014-ZZXAW,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4385-GZQXV,Fiber optic,No,No,No,Yes,Yes,Yes
7633-MVPUY,DSL,Yes,Yes,No,Yes,No,No
6366-ZGQGL,DSL,No,No,No,No,No,No
4716-HHKQH,Fiber optic,No,Yes,No,Yes,Yes,Yes
5940-AHUHD,Fiber optic,No,No,No,No,No,No
6432-TWQLB,Fiber optic,No,Yes,No,Yes,No,No
4484-GLZOU,Fiber optic,No,Yes,Yes,No,Yes,Yes
3179-GBRWV,DSL,Yes,Yes,No,No,No,Yes
8645-KWHJO,DSL,No,No,Yes,Yes,Yes,Yes
4130-MZLCC,DSL,No,Yes,No,No,No,No
0314-TKOSI,DSL,Yes,Yes,No,No,No,No
8229-MYEJZ,DSL,No,Yes,No,No,No,No
2080-SRCDE,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9577-WJVCQ,DSL,Yes,No,No,No,No,No
9512-UIBFX,Fiber optic,No,No,Yes,No,Yes,Yes
6202-DYYFX,Fiber optic,No,No,No,No,No,No
3808-HFKDE,DSL,No,No,No,No,No,No
5583-SXDAG,Fiber optic,No,No,No,No,No,No
3488-PGMQJ,Fiber optic,No,Yes,No,No,No,No
3580-REOAC,DSL,No,No,No,No,No,No
7534-BFESC,Fiber optic,No,No,No,No,No,No
3727-OWVYD,DSL,Yes,Yes,Yes,No,No,No
2294-SALNE,Fiber optic,No,Yes,Yes,Yes,No,No
4847-TAJYI,Fiber optic,No,No,No,No,Yes,Yes
1563-IWQEX,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8203-XJZRC,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6556-DBKZF,Fiber optic,No,No,Yes,No,No,No
6851-WEFYX,Fiber optic,No,No,Yes,No,Yes,Yes
2985-JUUBZ,DSL,No,No,Yes,No,Yes,Yes
6390-DSAZX,Fiber optic,Yes,No,No,No,No,No
0895-LMRSF,DSL,No,No,No,No,Yes,Yes
8098-LLAZX,Fiber optic,No,No,No,No,Yes,Yes
8266-VBFQL,Fiber optic,No,No,Yes,Yes,No,Yes
8181-YHCMF,DSL,No,Yes,Yes,Yes,Yes,Yes
2240-HSJQD,Fiber optic,No,Yes,No,No,No,No
1248-DYXUB,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0265-EDXBD,Fiber optic,No,No,No,No,No,No
4115-BNPJY,DSL,No,No,Yes,Yes,Yes,Yes
3167-SNQPL,Fiber optic,No,Yes,No,No,Yes,Yes
4091-TVOCN,DSL,Yes,No,Yes,No,Yes,Yes
1098-TDVUQ,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7277-OZCGZ,Fiber optic,Yes,No,No,Yes,No,Yes
1557-EMYVT,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2799-ARNLO,Fiber optic,No,No,No,No,No,No
7563-BIUPC,Fiber optic,No,No,No,No,Yes,No
5027-YOCXN,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3973-SKMLN,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2321-OMBXY,DSL,Yes,Yes,No,Yes,Yes,Yes
2840-XANRC,Fiber optic,No,No,Yes,No,Yes,Yes
6745-JEFZB,Fiber optic,No,No,No,Yes,Yes,No
5020-ZSTTY,DSL,Yes,Yes,No,Yes,Yes,Yes
9880-TDQAC,DSL,No,Yes,Yes,Yes,Yes,Yes
8705-WZCYL,DSL,No,No,No,No,No,No
7102-JJVTX,DSL,Yes,No,No,No,No,No
8626-PTQGE,DSL,Yes,Yes,No,Yes,Yes,Yes
4983-CLMLV,Fiber optic,No,Yes,No,Yes,Yes,Yes
5701-YVSVF,Fiber optic,No,No,No,Yes,Yes,No
5804-LEPIM,Fiber optic,No,No,No,No,No,No
5697-GOMBF,DSL,No,No,No,No,Yes,No
2739-CACDQ,Fiber optic,No,No,Yes,No,No,No
9385-EHGDO,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9498-FIMXL,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2379-GYFLQ,Fiber optic,No,Yes,Yes,No,Yes,No
0122-OAHPZ,Fiber optic,No,No,No,No,No,No
2868-SNELZ,Fiber optic,No,No,Yes,No,No,No
4322-RCYMT,DSL,No,Yes,Yes,Yes,No,Yes
6680-NENYN,Fiber optic,No,Yes,Yes,No,Yes,Yes
2088-IEBAU,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7982-VCELR,Fiber optic,No,Yes,No,No,Yes,Yes
1343-EHPYB,Fiber optic,No,Yes,Yes,No,Yes,Yes
6035-BXTTY,DSL,No,Yes,No,Yes,No,No
6885-PKOAM,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7520-HQWJU,DSL,Yes,Yes,Yes,No,No,No
9639-BUJXT,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5924-SNGKP,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0021-IKXGC,Fiber optic,No,No,No,No,No,No
2034-GDRCN,Fiber optic,No,No,No,No,Yes,Yes
8966-SNIZF,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6243-OZGFH,DSL,No,No,No,No,Yes,Yes
4654-DLAMQ,Fiber optic,Yes,Yes,Yes,No,No,Yes
0513-RBGPE,DSL,Yes,No,Yes,Yes,No,No
5160-UXJED,DSL,No,No,No,No,No,No
4115-NZRKS,Fiber optic,No,No,No,No,Yes,Yes
0219-YTZUE,Fiber optic,No,Yes,Yes,No,No,No
0623-IIHUG,DSL,Yes,No,No,No,Yes,No
4572-DVCGN,Fiber optic,No,No,No,No,No,Yes
3351-NGXYI,DSL,Yes,No,No,No,No,No
8984-EYLLL,Fiber optic,No,Yes,No,Yes,Yes,Yes
9057-MSWCO,DSL,Yes,No,No,No,No,No
9833-TGFHX,Fiber optic,Yes,No,No,No,Yes,Yes
9294-TDIPC,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5229-DTFYB,Fiber optic,No,Yes,No,Yes,Yes,Yes
0104-PPXDV,DSL,No,No,Yes,No,No,No
5176-LMJXE,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3583-KRKMD,Fiber optic,No,No,No,Yes,No,No
1010-DIAUQ,Fiber optic,No,No,Yes,No,Yes,Yes
9069-LGEUL,DSL,Yes,No,No,No,No,Yes
7302-ZHMHP,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9571-EDEBV,Fiber optic,No,No,Yes,No,Yes,Yes
3520-FJGCV,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6563-VRERX,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0259-GBZSH,Fiber optic,No,No,No,No,Yes,No
6122-EFVKN,DSL,Yes,No,No,Yes,No,No
2805-EDJPQ,Fiber optic,No,Yes,Yes,Yes,No,Yes
6862-CQUMB,Fiber optic,No,Yes,No,No,Yes,Yes
7156-MXBJE,DSL,No,Yes,Yes,Yes,Yes,Yes
6158-HDPXZ,DSL,No,No,No,No,No,No
9601-BRXPO,Fiber optic,No,No,Yes,Yes,Yes,Yes
2863-IMQDR,DSL,Yes,Yes,Yes,Yes,Yes,Yes
5686-CMAWK,Fiber optic,No,No,Yes,Yes,No,No
5651-CRHKQ,Fiber optic,No,Yes,Yes,Yes,No,No
6905-NIQIN,DSL,No,Yes,No,No,No,No
8204-YJCLA,DSL,Yes,Yes,Yes,Yes,Yes,Yes
5167-ZFFMM,Fiber optic,No,Yes,No,No,No,Yes
6583-SZVGP,Fiber optic,No,Yes,Yes,No,Yes,Yes
4895-TMWIR,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0533-BNWKF,Fiber optic,No,Yes,Yes,No,No,No
1708-PBBOA,DSL,Yes,Yes,Yes,Yes,No,Yes
8782-LKFPK,Fiber optic,No,No,Yes,No,No,Yes
5522-JBWMO,DSL,No,No,No,No,No,No
3597-MVHJT,Fiber optic,No,No,No,No,Yes,Yes
9774-NRNAU,DSL,No,Yes,Yes,Yes,Yes,Yes
0224-RLWWD,DSL,No,No,No,No,No,No
9967-ATRFS,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3951-NJCVI,Fiber optic,No,No,No,No,Yes,Yes
2977-CEBSX,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0177-PXBAT,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
6599-CEBNN,Fiber optic,No,Yes,No,No,No,No
2519-ERQOJ,DSL,No,No,Yes,Yes,Yes,Yes
5876-QMYLD,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2277-AXSDC,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9442-JTWDL,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0979-PHULV,Fiber optic,No,No,Yes,No,Yes,Yes
3067-SVMTC,DSL,Yes,No,No,Yes,No,No
5495-GPSRW,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7606-BPHHN,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4742-DRORA,Fiber optic,Yes,No,Yes,No,Yes,No
0111-KLBQG,Fiber optic,No,Yes,No,No,Yes,Yes
4800-VHZKI,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7989-CHGTL,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0334-GDDSO,Fiber optic,No,Yes,No,No,No,No
4163-NCJAK,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
