customer_id,contract_type,paperless_billing,payment_method
3212-KXOCR,Two year,False,Bank transfer (automatic)
4598-XLKNJ,Month-to-month,True,Electronic check
6380-ARCEH,Month-to-month,False,Mailed check
3679-XASPY,Month-to-month,False,Electronic check
7123-WQUHX,One year,False,Bank transfer (automatic)
5386-THSLQ,One year,False,Bank transfer (automatic)
3192-NQECA,Two year,True,Bank transfer (automatic)
6180-YBIQI,Month-to-month,False,Mailed check
6728-DKUCO,One year,True,Electronic check
9750-BOOHV,One year,False,Mailed check
8597-CWYHH,One year,False,Mailed check
2848-YXSMW,Two year,False,Credit card (automatic)
0486-HECZI,Month-to-month,True,Electronic check
4549-ZDQYY,One year,False,Credit card (automatic)
5712-AHQNN,Month-to-month,True,Electronic check
4846-WHAFZ,Month-to-month,True,Electronic check
5256-SKJGO,Two year,True,Electronic check
3071-VBYPO,Month-to-month,False,Electronic check
9560-BBZXK,Two year,False,Bank transfer (automatic)
5299-RULOA,Month-to-month,True,Electronic check
8402-OOOHJ,Two year,False,Mailed check
9445-ZUEQE,Month-to-month,True,Credit card (automatic)
1091-SOZGA,One year,True,Credit card (automatic)
2928-HLDBA,Month-to-month,False,Mailed check
0404-SWRVG,Month-to-month,True,Electronic check
6497-TILVL,Month-to-month,False,Mailed check
7219-TLZHO,Month-to-month,False,Mailed check
4622-YNKIJ,Two year,True,Electronic check
4412-YLTKF,Month-to-month,True,Electronic check
6734-PSBAW,Two year,True,Bank transfer (automatic)
3930-ZGWVE,Month-to-month,False,Mailed check
2639-UGMAZ,One year,True,Electronic check
2876-GZYZC,Month-to-month,True,Electronic check
6207-WIOLX,Month-to-month,True,Credit card (automatic)
8587-XYZSF,Two year,False,Bank transfer (automatic)
3091-FYHKI,Month-to-month,True,Electronic check
2372-HWUHI,Month-to-month,False,Electronic check
7799-LGRDP,Two year,True,Credit card (automatic)
7850-VWJUU,Month-to-month,True,Bank transfer (automatic)
3774-VBNXY,Two year,False,Mailed check
6217-KDYWC,Two year,True,Mailed check
0390-DCFDQ,Month-to-month,True,Mailed check
3146-MSEGF,Two year,True,Credit card (automatic)
4080-OGPJL,Month-to-month,False,Electronic check
1095-WGNGG,Two year,True,Bank transfer (automatic)
2636-SJDOU,One year,True,Credit card (automatic)
1131-QQZEB,Two year,False,Bank transfer (automatic)
5716-EZXZN,Two year,True,Credit card (automatic)
6837-BJYDQ,One year,False,Mailed check
2135-RXIHG,Month-to-month,True,Electronic check
6440-DKQGE,One year,False,Credit card (automatic)
3466-BYAVD,Month-to-month,True,Mailed check
3780-YVMFA,Month-to-month,True,Electronic check
3874-EQOEP,Month-to-month,False,Mailed check
1679-JRFBR,One year,True,Credit card (automatic)
9073-ZZIAY,Two year,False,Electronic check
3077-RSNTJ,Month-to-month,False,Mailed check
6551-GNYDG,Month-to-month,True,Bank transfer (automatic)
9167-APMXZ,Month-to-month,True,Bank transfer (automatic)
2749-CTKAJ,One year,False,Mailed check
6371-NZYEG,Two year,False,Mailed check
7554-NEWDD,Two year,False,Bank transfer (automatic)
8992-VONJD,Month-to-month,True,Electronic check
0867-MKZVY,Month-to-month,False,Electronic check
4482-EWFMI,Month-to-month,True,Electronic check
4648-YPBTM,Two year,True,Bank transfer (automatic)
2907-ILJBN,One year,False,Mailed check
6345-FZOQH,Two year,False,Mailed check
3376-BMGFE,Month-to-month,True,Bank transfer (automatic)
5997-OPVFA,Two year,True,Bank transfer (automatic)
3445-HXXGF,Month-to-month,True,Electronic check
1159-WFSGR,Month-to-month,False,Electronic check
7654-YWJUF,One year,True,Bank transfer (automatic)
1875-QIVME,Month-to-month,True,Electronic check
6727-IOTLZ,Two year,False,Mailed check
0691-JVSYA,One year,True,Bank transfer (automatic)
5918-VUKWP,One year,False,Bank transfer (automatic)
1744-JHKYS,Month-to-month,False,Electronic check
2656-FMOKZ,Month-to-month,True,Mailed check
2070-FNEXE,Month-to-month,False,Bank transfer (automatic)
5947-SGKCL,Month-to-month,True,Bank transfer (automatic)
3712-PKXZA,One year,True,Credit card (automatic)
6317-YPKDH,Month-to-month,False,Bank transfer (automatic)
6582-OIVSP,Month-to-month,False,Mailed check
9367-WXLCH,Month-to-month,False,Bank transfer (automatic)
5524-KHNJP,One year,False,Credit card (automatic)
1918-ZBFQJ,Month-to-month,True,Electronic check
1024-GUALD,Month-to-month,True,Electronic check
4827-USJHP,Month-to-month,True,Mailed check
8167-GJLRN,Month-to-month,False,Electronic check
0956-SYCWG,One year,False,Electronic check
8017-UVSZU,Month-to-month,False,Credit card (automatic)
7100-FQPRV,One year,True,Credit card (automatic)
2472-OVKUP,Month-to-month,True,Electronic check
2984-RGEYA,Two year,False,Bank transfer (automatic)
9680-NIAUV,Two year,False,Credit card (automatic)
2146-EGVDT,Two year,False,Credit card (automatic)
2604-IJPDU,Month-to-month,True,Electronic check
9178-JHUVJ,Two year,True,Bank transfer (automatic)
6168-YBYNP,Month-to-month,True,Electronic check
7255-SSFBC,Two year,True,Bank transfer (automatic)
3645-DEYGF,Month-to-month,False,Mailed check
9323-HGFWY,One year,True,Credit card (automatic)
8544-GOQSH,Month-to-month,True,Credit card (automatic)
3363-DTIVD,Two year,False,Electronic check
7018-WBJNK,Month-to-month,True,Credit card (automatic)
9142-KZXOP,Month-to-month,False,Credit card (automatic)
7674-YTAFD,One year,True,Bank transfer (automatic)
6348-SNFUS,Two year,True,Credit card (automatic)
1285-OKIPP,Month-to-month,False,Electronic check
7825-ECJRF,Month-to-month,True,Electronic check
1347-KTTTA,One year,True,Credit card (automatic)
7841-TZDMQ,Month-to-month,True,Credit card (automatic)
4195-NZGTA,Month-to-month,False,Electronic check
7157-SMCFK,Two year,False,Mailed check
4709-LKHYG,One year,False,Electronic check
2504-DSHIH,Month-to-month,False,Electronic check
0699-NDKJM,Month-to-month,True,Bank transfer (automatic)
9286-BHDQG,Two year,False,Credit card (automatic)
0230-WEQUW,Two year,True,Bank transfer (automatic)
2040-LDIWQ,Two year,True,Bank transfer (automatic)
6496-JDSSB,Month-to-month,True,Bank transfer (automatic)
9408-SSNVZ,Month-to-month,True,Electronic check
4443-EMBNA,Two year,False,Bank transfer (automatic)
6469-MRVET,One year,True,Electronic check
0742-MOABM,Month-to-month,False,Mailed check
5961-VUSRV,One year,True,Bank transfer (automatic)
6778-JFCMK,One year,True,Mailed check
6341-JVQGF,One year,True,Mailed check
2232-DMLXU,Month-to-month,False,Mailed check
4811-JBUVU,Month-to-month,True,Credit card (automatic)
0945-TSONX,Two year,True,Credit card (automatic)
2651-ZCBXV,Two year,True,Credit card (automatic)
3316-UWXUY,Month-to-month,True,Credit card (automatic)
8937-RDTHP,Month-to-month,True,Mailed check
7083-MIOPC,Two year,False,Credit card (automatic)
1984-GPTEH,Month-to-month,False,Electronic check
1251-KRREG,Month-to-month,True,Mailed check
0621-JFHOL,Two year,True,Mailed check
9903-LYSAB,Month-to-month,True,Electronic check
0094-OIFMO,Month-to-month,True,Electronic check
9227-UAQFT,Two year,False,Mailed check
7301-ABVAD,Two year,False,Bank transfer (automatic)
6614-FHDBO,Two year,False,Bank transfer (automatic)
7576-ASEJU,One year,True,Credit card (automatic)
9058-HRZSV,Month-to-month,False,Electronic check
4522-AKYLR,Month-to-month,True,Electronic check
0221-WMXNQ,Month-to-month,False,Electronic check
0303-UNCIP,One year,False,Mailed check
9947-OTFQU,Month-to-month,True,Electronic check
0322-YINQP,Month-to-month,True,Mailed check
0959-WHOKV,One year,True,Electronic check
4075-JFPGR,One year,True,Electronic check
4629-NRXKX,Month-to-month,False,Electronic check
9514-JDSKI,Month-to-month,False,Electronic check
3282-ZISZV,One year,False,Credit card (automatic)
3675-YDUPJ,Month-to-month,True,Mailed check
4111-BNXIF,Two year,True,Electronic check
7017-VFHAY,Two year,False,Credit card (automatic)
6655-LHBYW,One year,False,Credit card (automatic)
4959-JOSRX,Month-to-month,True,Credit card (automatic)
5046-NUHWD,Month-to-month,True,Electronic check
7273-TEFQD,Month-to-month,True,Electronic check
3606-TWKGI,Month-to-month,True,Electronic check
7529-ZDFXI,Month-to-month,True,Electronic check
7605-BDWDC,Two year,True,Bank transfer (automatic)
1950-KSVVJ,One year,False,Mailed check
0123-CRBRT,Two year,False,Mailed check
6292-TOSSS,Two year,False,Bank transfer (automatic)
3197-ARFOY,Month-to-month,True,Mailed check
6323-AYBRX,Two year,False,Mailed check
7014-ZZXAW,Two year,True,Credit card (automatic)
4385-GZQXV,Month-to-month,True,Electronic check
7633-MVPUY,Two year,True,Electronic check
6366-ZGQGL,Month-to-month,False,Bank transfer (automatic)
4716-HHKQH,Month-to-month,False,Electronic check
5940-AHUHD,Month-to-month,False,Mailed check
6432-TWQLB,Month-to-month,True,Electronic check
4484-GLZOU,Month-to-month,True,Electronic check
3179-GBRWV,Month-to-month,True,Bank transfer (automatic)
8645-KWHJO,Month-to-month,True,Electronic check
4130-MZLCC,Month-to-month,False,Bank transfer (automatic)
0314-TKOSI,Month-to-month,False,Mailed check
8229-MYEJZ,Month-to-month,False,Electronic check
2080-SRCDE,Month-to-month,False,Mailed check
9577-WJVCQ,Month-to-month,False,Mailed check
9512-UIBFX,Month-to-month,False,Mailed check
6202-DYYFX,One year,True,Credit card (automatic)
3808-HFKDE,Month-to-month,True,Electronic check
5583-SXDAG,Month-to-month,False,Electronic check
3488-PGMQJ,Month-to-month,True,Electronic check
3580-REOAC,Month-to-month,True,Credit card (automatic)
7534-BFESC,Month-to-month,True,Electronic check
3727-OWVYD,One year,False,Mailed check
2294-SALNE,One year,False,Mailed check
4847-TAJYI,Month-to-month,True,Electronic check
1563-IWQEX,Month-to-month,False,Mailed check
8203-XJZRC,Month-to-month,False,Mailed check
6556-DBKZF,Two year,False,Electronic check
6851-WEFYX,Month-to-month,True,Electronic check
2985-JUUBZ,Month-to-month,True,Electronic check
6390-DSAZX,Month-to-month,True,Mailed check
0895-LMRSF,One year,True,Bank transfer (automatic)
8098-LLAZX,Month-to-month,True,Electronic check
8266-VBFQL,Month-to-month,True,Electronic check
8181-YHCMF,Two year,False,Credit card (automatic)
2240-HSJQD,Month-to-month,True,Mailed check
1248-DYXUB,Two year,False,Mailed check
0265-EDXBD,Month-to-month,True,Electronic check
4115-BNPJY,Two year,False,Mailed check
3167-SNQPL,Month-to-month,False,Electronic check
4091-TVOCN,One year,True,Credit card (automatic)
1098-TDVUQ,Month-to-month,True,Bank transfer (automatic)
7277-OZCGZ,Month-to-month,True,Electronic check
1557-EMYVT,Two year,False,Credit card (automatic)
2799-ARNLO,Month-to-month,True,Electronic check
7563-BIUPC,Month-to-month,True,Electronic check
5027-YOCXN,One year,False,Credit card (automatic)
3973-SKMLN,Two year,True,Credit card (automatic)
2321-OMBXY,One year,False,Credit card (automatic)
2840-XANRC,Month-to-month,True,Electronic check
6745-JEFZB,Month-to-month,True,Credit card (automatic)
5020-ZSTTY,One year,False,Bank transfer (automatic)
9880-TDQAC,Two year,True,Electronic check
8705-WZCYL,Month-to-month,True,Electronic check
7102-JJVTX,One year,False,Mailed check
8626-PTQGE,Two year,True,Bank transfer (automatic)
4983-CLMLV,Month-to-month,True,Credit card (automatic)
5701-YVSVF,Month-to-month,True,Electronic check
5804-LEPIM,Month-to-month,True,Electronic check
5697-GOMBF,Month-to-month,True,Electronic check
2739-CACDQ,Month-to-month,True,Credit card (automatic)
9385-EHGDO,Two year,True,Mailed check
9498-FIMXL,One year,True,Mailed check
2379-GYFLQ,One year,True,Credit card (automatic)
0122-OAHPZ,Month-to-month,True,Electronic check
2868-SNELZ,Month-to-month,False,Mailed check
4322-RCYMT,One year,True,Bank transfer (automatic)
6680-NENYN,Two year,True,Electronic check
2088-IEBAU,Two year,True,Electronic check
7982-VCELR,Month-to-month,True,Credit card (automatic)
1343-EHPYB,Month-to-month,True,Electronic check
6035-BXTTY,Month-to-month,False,Bank transfer (automatic)
6885-PKOAM,Two year,False,Credit card (automatic)
7520-HQWJU,Month-to-month,True,Bank transfer (automatic)
9639-BUJXT,One year,False,Mailed check
5924-SNGKP,One year,True,Credit card (automatic)
0021-IKXGC,Month-to-month,True,Electronic check
2034-GDRCN,Month-to-month,True,Electronic check
8966-SNIZF,Two year,False,Bank transfer (automatic)
6243-OZGFH,Month-to-month,True,Electronic check
4654-DLAMQ,One year,False,Bank transfer (automatic)
0513-RBGPE,Two year,True,Credit card (automatic)
5160-UXJED,One year,False,Mailed check
4115-NZRKS,Month-to-month,True,Electronic check
0219-YTZUE,Month-to-month,True,Bank transfer (automatic)
0623-IIHUG,Month-to-month,True,Electronic check
4572-DVCGN,Month-to-month,True,Bank transfer (automatic)
3351-NGXYI,Month-to-month,True,Electronic check
8984-EYLLL,Two year,True,Electronic check
9057-MSWCO,Month-to-month,False,Credit card (automatic)
9833-TGFHX,One year,False,Electronic check
9294-TDIPC,Month-to-month,False,Mailed check
5229-DTFYB,Two year,True,Bank transfer (automatic)
0104-PPXDV,One year,False,Credit card (automatic)
5176-LMJXE,Two year,True,Mailed check
3583-KRKMD,Month-to-month,True,Bank transfer (automatic)
1010-DIAUQ,Month-to-month,False,Bank transfer (automatic)
9069-LGEUL,Month-to-month,True,Bank transfer (automatic)
7302-ZHMHP,Month-to-month,False,Mailed check
9571-EDEBV,One year,True,Credit card (automatic)
3520-FJGCV,Two year,True,Credit card (automatic)
6563-VRERX,One year,False,Mailed check
0259-GBZSH,Month-to-month,True,Electronic check
6122-EFVKN,Two year,False,Mailed check
2805-EDJPQ,One year,True,Credit card (automatic)
6862-CQUMB,Month-to-month,True,Credit card (automatic)
7156-MXBJE,One year,False,Credit card (automatic)
6158-HDPXZ,Month-to-month,False,Mailed check
9601-BRXPO,Month-to-month,True,Bank transfer (automatic)
2863-IMQDR,Two year,False,Electronic check
5686-CMAWK,One year,False,Electronic check
5651-CRHKQ,One year,True,Bank transfer (automatic)
6905-NIQIN,Month-to-month,False,Mailed check
8204-YJCLA,Two year,True,Bank transfer (automatic)
5167-ZFFMM,Month-to-month,True,Credit card (automatic)
6583-SZVGP,Two year,True,Bank transfer (automatic)
4895-TMWIR,Month-to-month,False,Mailed check
0533-BNWKF,Month-to-month,True,Electronic check
1708-PBBOA,One year,True,Electronic check
8782-LKFPK,Month-to-month,True,Mailed check
5522-JBWMO,Month-to-month,False,Electronic check
3597-MVHJT,Month-to-month,True,Bank transfer (automatic)
9774-NRNAU,Month-to-month,True,Bank transfer (automatic)
0224-RLWWD,Month-to-month,True,Electronic check
9967-ATRFS,Month-to-month,False,Mailed check
3951-NJCVI,Month-to-month,True,Electronic check
2977-CEBSX,Two year,True,Credit card (automatic)
0177-PXBAT,Month-to-month,True,Bank transfer (automatic)
6599-CEBNN,Month-to-month,True,Credit card (automatic)
2519-ERQOJ,Month-to-month,True,Electronic check
5876-QMYLD,One year,False,Mailed check
2277-AXSDC,One year,False,Bank transfer (automatic)
9442-JTWDL,One year,False,Credit card (automatic)
0979-PHULV,Month-to-month,True,Credit card (automatic)
3067-SVMTC,One year,False,Bank transfer (automatic)
5495-GPSRW,Two year,True,Mailed check
7606-BPHHN,Two year,True,Credit card (automatic)
4742-DRORA,One year,True,Bank transfer (automatic)
0111-KLBQG,Month-to-month,True,Mailed check
4800-VHZKI,Month-to-month,True,Mailed check
7989-CHGTL,Month-to-month,True,Mailed check
0334-GDDSO,Month-to-month,True,Electronic check
4163-NCJAK,One year,True,Bank transfer (automatic)
5233-AOZUF,Month-to-month,True,Electronic check
5973-EJGDP,Month-to-month,True,Electronic check
1996-DBMUS,Month-to-month,True,Bank transfer (automatic)
7916-VCCPB,Month-to-month,False,Bank transfer (automatic)
4686-GEFRM,Two year,True,Bank transfer (automatic)
5249-QYHEX,Two year,True,Mailed check
0578-SKVMF,Month-to-month,False,Electronic check
5564-NEMQO,Month-to-month,True,Bank transfer (automatic)
2233-FAGXV,Month-to-month,True,Mailed check
5605-IYGFG,Month-to-month,True,Bank transfer (automatic)
7663-ZTEGJ,One year,False,Credit card (automatic)
3935-TBRZZ,One year,False,Mailed check
8111-BKVDS,Month-to-month,False,Bank transfer (automatic)
2055-SIFSS,Month-to-month,False,Bank transfer (automatic)
2806-MLNTI,One year,True,Bank transfer (automatic)
8734-DKSTZ,Month-to-month,False,Electronic check
4360-PNRQB,Month-to-month,True,Bank transfer (automatic)
6152-ONASV,One year,False,Bank transfer (automatic)
9063-ZGTUY,Month-to-month,True,Mailed check
7781-HVGMK,Two year,True,Credit card (automatic)
2181-UAESM,Month-to-month,False,Electronic check
2957-LOLHO,Month-to-month,True,Bank transfer (automatic)
6048-NJXHX,Two year,True,Electronic check
2320-SLKMB,Month-to-month,True,Credit card (automatic)
4980-URKXC,One year,False,Bank transfer (automatic)
4376-KFVRS,Two year,True,Credit card (automatic)
5886-VLQVU,Month-to-month,True,Bank transfer (automatic)
3577-AMVUX,Month-to-month,False,Mailed check
0771-WLCLA,Month-to-month,True,Electronic check
5628-RKIFK,Month-to-month,False,Credit card (automatic)
0206-TBWLC,One year,True,Mailed check
2937-FTHUR,Month-to-month,False,Electronic check
1910-FMXJM,Month-to-month,False,Electronic check
7752-XUSCI,Month-to-month,True,Electronic check
4110-PFEUZ,Month-to-month,False,Mailed check
0732-OCQOC,Two year,True,Bank transfer (automatic)
5168-MSWXT,Month-to-month,True,Electronic check
1090-ESELR,Two year,False,Bank transfer (automatic)
8592-PLTMQ,One year,False,Mailed check
5760-WRAHC,Month-to-month,True,Mailed check
8847-GEOOQ,Month-to-month,True,Bank transfer (automatic)
0256-LTHVJ,Month-to-month,True,Electronic check
4785-FCIFB,Two year,False,Mailed check
8313-NDOIA,Month-to-month,True,Electronic check
5149-CUZUJ,One year,False,Bank transfer (automatic)
0942-KOWSM,Two year,False,Bank transfer (automatic)
4237-CLSMM,Month-to-month,False,Mailed check
1452-VOQCH,Month-to-month,True,Electronic check
4719-UMSIY,Month-to-month,False,Mailed check
6614-VBEGU,Month-to-month,True,Bank transfer (automatic)
0880-TKATG,Month-to-month,False,Electronic check
3811-VBYBZ,Month-to-month,True,Electronic check
1480-BKXGA,Two year,True,Bank transfer (automatic)
2996-XAUVF,Two year,True,Mailed check
9076-AXYIK,Two year,False,Electronic check
5968-XQIVE,One year,True,Electronic check
8896-RAZCR,Two year,False,Mailed check
4640-UHDOS,Month-to-month,False,Electronic check
4933-IKULF,One year,False,Mailed check
3583-EKAPL,Month-to-month,True,Electronic check
1304-BCCFO,Month-to-month,True,Mailed check
4104-PVRPS,Month-to-month,False,Mailed check
9399-APLBT,Month-to-month,True,Electronic check
2359-KMGLI,Month-to-month,True,Electronic check
3780-DDGSE,Month-to-month,True,Electronic check
4431-EDMIQ,Month-to-month,True,Electronic check
0306-JAELE,Month-to-month,True,Electronic check
6227-HWPWX,Month-to-month,False,Bank transfer (automatic)
0486-LGCCH,Two year,False,Mailed check
0447-BEMNG,Month-to-month,True,Bank transfer (automatic)
4612-SSVHJ,Month-to-month,True,Electronic check
5168-MQQCA,One year,True,Bank transfer (automatic)
5949-XIKAE,Month-to-month,True,Electronic check
7971-HLVXI,Two year,True,Credit card (automatic)
9094-AZPHK,Month-to-month,True,Electronic check
3649-JPUGY,Two year,True,Bank transfer (automatic)
8372-JUXUI,Month-to-month,True,Electronic check
3552-CTCYF,Two year,True,Bank transfer (automatic)
6778-YSNIH,Month-to-month,True,Electronic check
0388-EOPEX,Month-to-month,True,Electronic check
5756-OZRIO,One year,False,Bank transfer (automatic)
6579-JPICP,Month-to-month,False,Mailed check
8205-OTCHB,One year,True,Bank transfer (automatic)
4134-BSXLX,Month-to-month,False,Mailed check
0505-SPOOW,Two year,False,Bank transfer (automatic)
6235-VDHOM,Month-to-month,False,Electronic check
7783-YKGDV,Month-to-month,True,Bank transfer (automatic)
4374-YMUSQ,One year,False,Credit card (automatic)
4513-CXYIX,Two year,True,Credit card (automatic)
3957-HHLMR,One year,False,Bank transfer (automatic)
7803-XOCCZ,Month-to-month,True,Bank transfer (automatic)
5736-YEJAX,Two year,True,Credit card (automatic)
5609-CEBID,Month-to-month,True,Electronic check
8981-FJGLA,Month-to-month,True,Mailed check
7218-HKQFK,Month-to-month,True,Electronic check
4636-QRJKY,Month-to-month,True,Electronic check
1135-LMECX,Month-to-month,False,Mailed check
4332-MUOEZ,One year,False,Credit card (automatic)
8535-SFUTN,Month-to-month,True,Electronic check
5956-VKDTT,Month-to-month,True,Electronic check
8677-HDZEE,Month-to-month,True,Bank transfer (automatic)
2475-MROZF,Month-to-month,True,Credit card (automatic)
9412-GHEEC,Month-to-month,False,Bank transfer (automatic)
3482-ABPKK,One year,False,Mailed check
6705-LXORM,Month-to-month,False,Electronic check
0257-ZESQC,Month-to-month,True,Bank transfer (automatic)
7531-GQHME,Month-to-month,False,Credit card (automatic)
5174-ITUMV,One year,True,Electronic check
4109-CYRBD,Month-to-month,True,Electronic check
0913-XWSCN,Month-to-month,False,Bank transfer (automatic)
6825-UYPFK,Month-to-month,False,Bank transfer (automatic)
8397-MVTAZ,Month-to-month,True,Electronic check
0750-EBAIU,One year,False,Electronic check
8606-CIQUL,Two year,True,Credit card (automatic)
3571-DPYUH,One year,True,Credit card (automatic)
7601-GNDYK,Two year,False,Mailed check
0356-OBMAC,Two year,True,Bank transfer (automatic)
8067-NIOYM,Two year,True,Credit card (automatic)
1403-GYAFU,Two year,False,Credit card (automatic)
4234-XTNEA,Month-to-month,True,Electronic check
1297-VQDRP,One year,True,Credit card (automatic)
9282-IZGQK,Month-to-month,True,Electronic check
5348-CAGXB,Month-to-month,True,Electronic check
0621-HJWXJ,Month-to-month,True,Bank transfer (automatic)
5844-QVTAT,One year,True,Mailed check
8905-IAZPF,One year,True,Credit card (automatic)
5394-MEITZ,Two year,True,Bank transfer (automatic)
6859-QNXIQ,Two year,True,Bank transfer (automatic)
2782-LFZVW,Month-to-month,True,Mailed check
2866-IKBTM,Month-to-month,False,Mailed check
1342-JPNKI,Month-to-month,True,Bank transfer (automatic)
2817-NTQDO,Month-to-month,True,Credit card (automatic)
7129-AZJDE,One year,True,Bank transfer (automatic)
6986-IJDHX,Month-to-month,True,Mailed check
2560-PPCHE,One year,True,Bank transfer (automatic)
4676-MQUEA,One year,True,Bank transfer (automatic)
8138-EALND,Month-to-month,False,Mailed check
3580-HYCSP,Two year,True,Bank transfer (automatic)
1352-HNSAW,Two year,True,Bank transfer (automatic)
2075-PUEPR,Two year,False,Bank transfer (automatic)
1982-FEBTD,Two year,True,Credit card (automatic)
5301-GAUUY,Month-to-month,True,Bank transfer (automatic)
5791-KAJFD,One year,True,Bank transfer (automatic)
2654-VBVPB,Month-to-month,False,Bank transfer (automatic)
1154-HYWWO,One year,False,Mailed check
2501-XWWTZ,Month-to-month,False,Electronic check
3716-UVSPD,Month-to-month,True,Electronic check
6815-ABQFQ,One year,True,Electronic check
7343-EOBEU,Month-to-month,True,Mailed check
