customer_id,has_phone_service,multiple_lines
2876-GZYZC,True,Yes
6207-WIOLX,False,No phone service
8587-XYZSF,True,No
3091-FYHKI,False,No phone service
2372-HWUHI,True,No
7799-LGRDP,True,Yes
7850-VWJUU,True,No
3774-VBNXY,True,No
6217-KDYWC,True,No
0390-DCFDQ,True,No
3146-MSEGF,True,Yes
4080-OGPJL,True,Yes
1095-WGNGG,True,Yes
2636-SJDOU,True,Yes
1131-QQZEB,True,Yes
5716-EZXZN,True,Yes
6837-BJYDQ,True,No
2135-RXIHG,True,No
6440-DKQGE,True,No
3466-BYAVD,True,No
3780-YVMFA,True,No
3874-EQOEP,True,Yes
1679-JRFBR,True,Yes
9073-ZZIAY,True,No
3077-RSNTJ,True,No
6551-GNYDG,True,No
9167-APMXZ,True,Yes
2749-CTKAJ,True,No
6371-NZYEG,True,No
7554-NEWDD,True,Yes
8992-VONJD,True,No
0867-MKZVY,True,Yes
4482-EWFMI,True,No
4648-YPBTM,True,Yes
2907-ILJBN,True,No
6345-FZOQH,True,No
3376-BMGFE,True,No
5997-OPVFA,True,Yes
3445-HXXGF,False,No phone service
1159-WFSGR,True,No
7654-YWJUF,True,No
1875-QIVME,True,Yes
6727-IOTLZ,True,No
0691-JVSYA,True,No
5918-VUKWP,True,No
1744-JHKYS,True,Yes
2656-FMOKZ,True,Yes
2070-FNEXE,True,No
5947-SGKCL,True,Yes
3712-PKXZA,True,No
6317-YPKDH,False,No phone service
6582-OIVSP,True,No
9367-WXLCH,True,Yes
5524-KHNJP,True,No
1918-ZBFQJ,True,No
1024-GUALD,False,No phone service
4827-USJHP,True,No
8167-GJLRN,False,No phone service
0956-SYCWG,True,No
8017-UVSZU,True,Yes
7100-FQPRV,True,Yes
2472-OVKUP,True,No
2984-RGEYA,True,No
9680-NIAUV,True,Yes
2146-EGVDT,True,No
2604-IJPDU,True,No
9178-JHUVJ,True,Yes
6168-YBYNP,True,Yes
7255-SSFBC,True,Yes
3645-DEYGF,True,No
9323-HGFWY,True,No
8544-GOQSH,True,No
3363-DTIVD,True,Yes
7018-WBJNK,True,No
9142-KZXOP,True,No
7674-YTAFD,True,No
6348-SNFUS,False,No phone service
1285-OKIPP,True,No
7825-ECJRF,True,No
1347-KTTTA,True,No
7841-TZDMQ,True,No
4195-NZGTA,False,No phone service
7157-SMCFK,True,No
4709-LKHYG,True,No
2504-DSHIH,True,Yes
0699-NDKJM,False,No phone service
9286-BHDQG,False,No phone service
0230-WEQUW,False,No phone service
2040-LDIWQ,True,Yes
6496-JDSSB,True,No
9408-SSNVZ,True,No
4443-EMBNA,True,Yes
6469-MRVET,True,No
0742-MOABM,True,No
5961-VUSRV,True,No
6778-JFCMK,False,No phone service
6341-JVQGF,True,No
2232-DMLXU,True,No
4811-JBUVU,True,Yes
0945-TSONX,True,Yes
2651-ZCBXV,True,Yes
3316-UWXUY,True,No
8937-RDTHP,True,No
7083-MIOPC,True,No
1984-GPTEH,True,Yes
1251-KRREG,True,Yes
0621-JFHOL,False,No phone service
9903-LYSAB,True,Yes
0094-OIFMO,True,No
9227-UAQFT,True,No
7301-ABVAD,True,Yes
6614-FHDBO,True,Yes
7576-ASEJU,True,No
9058-HRZSV,True,No
4522-AKYLR,True,No
0221-WMXNQ,True,No
0303-UNCIP,True,Yes
9947-OTFQU,True,No
0322-YINQP,True,No
0959-WHOKV,True,Yes
4075-JFPGR,True,No
4629-NRXKX,True,No
9514-JDSKI,False,No phone service
3282-ZISZV,True,Yes
3675-YDUPJ,True,No
4111-BNXIF,False,No phone service
7017-VFHAY,True,Yes
6655-LHBYW,True,Yes
4959-JOSRX,True,No
5046-NUHWD,False,No phone service
7273-TEFQD,False,No phone service
3606-TWKGI,True,Yes
7529-ZDFXI,True,Yes
7605-BDWDC,False,No phone service
1950-KSVVJ,True,Yes
0123-CRBRT,True,Yes
6292-TOSSS,True,Yes
3197-ARFOY,True,No
6323-AYBRX,True,No
7014-ZZXAW,True,Yes
4385-GZQXV,True,No
7633-MVPUY,True,No
6366-ZGQGL,False,No phone service
4716-HHKQH,True,Yes
5940-AHUHD,True,No
6432-TWQLB,True,Yes
4484-GLZOU,True,Yes
3179-GBRWV,True,No
8645-KWHJO,False,No phone service
4130-MZLCC,True,No
0314-TKOSI,True,No
8229-MYEJZ,True,No
2080-SRCDE,True,Yes
9577-WJVCQ,True,Yes
9512-UIBFX,True,No
6202-DYYFX,True,Yes
3808-HFKDE,True,No
5583-SXDAG,True,No
3488-PGMQJ,True,No
3580-REOAC,True,No
7534-BFESC,True,Yes
3727-OWVYD,True,No
2294-SALNE,True,No
4847-TAJYI,True,No
1563-IWQEX,True,No
8203-XJZRC,True,No
6556-DBKZF,True,No
6851-WEFYX,True,Yes
2985-JUUBZ,True,Yes
6390-DSAZX,True,No
0895-LMRSF,True,No
8098-LLAZX,True,Yes
8266-VBFQL,True,No
8181-YHCMF,False,No phone service
2240-HSJQD,True,Yes
1248-DYXUB,True,Yes
0265-EDXBD,True,Yes
4115-BNPJY,True,No
3167-SNQPL,True,Yes
4091-TVOCN,True,Yes
1098-TDVUQ,True,No
7277-OZCGZ,True,No
1557-EMYVT,True,Yes
2799-ARNLO,True,No
7563-BIUPC,True,No
5027-YOCXN,True,Yes
3973-SKMLN,True,No
2321-OMBXY,True,No
2840-XANRC,True,No
6745-JEFZB,True,Yes
5020-ZSTTY,True,Yes
9880-TDQAC,False,No phone service
8705-WZCYL,True,No
7102-JJVTX,True,No
8626-PTQGE,False,No phone service
4983-CLMLV,True,Yes
5701-YVSVF,True,No
5804-LEPIM,True,No
5697-GOMBF,False,No phone service
2739-CACDQ,True,Yes
9385-EHGDO,True,No
9498-FIMXL,True,No
2379-GYFLQ,True,Yes
0122-OAHPZ,True,Yes
2868-SNELZ,True,Yes
4322-RCYMT,True,Yes
6680-NENYN,True,Yes
2088-IEBAU,True,Yes
7982-VCELR,True,No
1343-EHPYB,True,Yes
6035-BXTTY,True,No
6885-PKOAM,True,Yes
7520-HQWJU,True,Yes
9639-BUJXT,True,No
5924-SNGKP,True,No
0021-IKXGC,True,Yes
2034-GDRCN,True,No
8966-SNIZF,True,No
6243-OZGFH,False,No phone service
4654-DLAMQ,True,No
0513-RBGPE,True,Yes
5160-UXJED,True,No
4115-NZRKS,True,No
0219-YTZUE,True,Yes
0623-IIHUG,False,No phone service
4572-DVCGN,True,No
3351-NGXYI,True,Yes
8984-EYLLL,True,Yes
9057-MSWCO,False,No phone service
9833-TGFHX,True,Yes
9294-TDIPC,True,No
5229-DTFYB,True,No
0104-PPXDV,True,No
5176-LMJXE,True,No
3583-KRKMD,True,No
1010-DIAUQ,True,No
9069-LGEUL,True,No
7302-ZHMHP,True,No
9571-EDEBV,True,Yes
3520-FJGCV,True,Yes
6563-VRERX,True,No
0259-GBZSH,True,Yes
6122-EFVKN,False,No phone service
2805-EDJPQ,True,Yes
6862-CQUMB,True,No
7156-MXBJE,True,Yes
6158-HDPXZ,False,No phone service
9601-BRXPO,True,Yes
2863-IMQDR,True,Yes
5686-CMAWK,True,Yes
5651-CRHKQ,True,No
6905-NIQIN,True,No
8204-YJCLA,False,No phone service
5167-ZFFMM,True,Yes
6583-SZVGP,True,Yes
4895-TMWIR,True,No
0533-BNWKF,True,Yes
1708-PBBOA,False,No phone service
8782-LKFPK,True,Yes
5522-JBWMO,True,No
3597-MVHJT,True,Yes
9774-NRNAU,True,Yes
0224-RLWWD,True,No
9967-ATRFS,True,No
3951-NJCVI,True,Yes
2977-CEBSX,True,Yes
0177-PXBAT,True,Yes
6599-CEBNN,True,No
2519-ERQOJ,False,No phone service
5876-QMYLD,True,No
2277-AXSDC,True,No
9442-JTWDL,True,No
0979-PHULV,True,Yes
3067-SVMTC,True,No
5495-GPSRW,True,No
7606-BPHHN,True,No
4742-DRORA,True,Yes
0111-KLBQG,True,No
4800-VHZKI,True,No
7989-CHGTL,True,No
0334-GDDSO,True,Yes
4163-NCJAK,True,Yes
5233-AOZUF,True,Yes
5973-EJGDP,True,Yes
1996-DBMUS,True,No
7916-VCCPB,True,No
4686-GEFRM,True,Yes
5249-QYHEX,True,Yes
0578-SKVMF,True,No
5564-NEMQO,True,No
2233-FAGXV,True,Yes
5605-IYGFG,True,No
7663-ZTEGJ,True,Yes
3935-TBRZZ,True,Yes
8111-BKVDS,False,No phone service
2055-SIFSS,True,Yes
2806-MLNTI,True,Yes
8734-DKSTZ,True,Yes
4360-PNRQB,True,Yes
6152-ONASV,True,Yes
9063-ZGTUY,True,No
7781-HVGMK,False,No phone service
2181-UAESM,True,No
2957-LOLHO,True,No
6048-NJXHX,True,No
2320-SLKMB,False,No phone service
4980-URKXC,True,No
4376-KFVRS,True,Yes
5886-VLQVU,True,Yes
3577-AMVUX,True,No
0771-WLCLA,True,Yes
5628-RKIFK,True,Yes
0206-TBWLC,True,Yes
2937-FTHUR,True,Yes
1910-FMXJM,True,No
7752-XUSCI,True,Yes
4110-PFEUZ,True,No
0732-OCQOC,True,Yes
5168-MSWXT,True,No
1090-ESELR,True,No
8592-PLTMQ,True,Yes
5760-WRAHC,True,No
8847-GEOOQ,False,No phone service
0256-LTHVJ,True,No
4785-FCIFB,True,Yes
8313-NDOIA,True,Yes
5149-CUZUJ,True,No
0942-KOWSM,True,No
4237-CLSMM,True,No
1452-VOQCH,True,Yes
4719-UMSIY,True,No
6614-VBEGU,True,No
0880-TKATG,True,Yes
3811-VBYBZ,True,Yes
1480-BKXGA,True,Yes
2996-XAUVF,False,No phone service
9076-AXYIK,True,Yes
5968-XQIVE,True,Yes
8896-RAZCR,True,No
4640-UHDOS,True,No
4933-IKULF,True,No
3583-EKAPL,True,No
1304-BCCFO,True,No
4104-PVRPS,True,No
9399-APLBT,True,No
2359-KMGLI,True,Yes
3780-DDGSE,True,No
4431-EDMIQ,True,No
0306-JAELE,True,No
6227-HWPWX,True,No
0486-LGCCH,True,No
0447-BEMNG,False,No phone service
4612-SSVHJ,True,No
5168-MQQCA,True,Yes
5949-XIKAE,True,No
7971-HLVXI,True,Yes
9094-AZPHK,True,Yes
3649-JPUGY,True,Yes
8372-JUXUI,True,Yes
3552-CTCYF,True,Yes
6778-YSNIH,True,No
0388-EOPEX,True,No
5756-OZRIO,True,Yes
6579-JPICP,True,No
8205-OTCHB,False,No phone service
4134-BSXLX,True,No
0505-SPOOW,True,No
6235-VDHOM,False,No phone service
7783-YKGDV,True,Yes
4374-YMUSQ,True,Yes
4513-CXYIX,True,Yes
3957-HHLMR,True,Yes
7803-XOCCZ,True,No
5736-YEJAX,True,Yes
5609-CEBID,True,Yes
8981-FJGLA,True,Yes
7218-HKQFK,True,No
4636-QRJKY,True,Yes
1135-LMECX,True,No
4332-MUOEZ,True,No
8535-SFUTN,True,Yes
5956-VKDTT,True,Yes
8677-HDZEE,True,Yes
2475-MROZF,True,Yes
9412-GHEEC,True,Yes
3482-ABPKK,True,No
6705-LXORM,True,No
0257-ZESQC,True,No
7531-GQHME,True,No
5174-ITUMV,True,Yes
4109-CYRBD,True,Yes
0913-XWSCN,True,Yes
6825-UYPFK,True,Yes
8397-MVTAZ,True,Yes
0750-EBAIU,True,No
8606-CIQUL,True,Yes
3571-DPYUH,True,Yes
7601-GNDYK,True,No
0356-OBMAC,True,Yes
8067-NIOYM,True,No
1403-GYAFU,True,No
4234-XTNEA,True,No
1297-VQDRP,True,Yes
9282-IZGQK,True,Yes
5348-CAGXB,True,Yes
0621-HJWXJ,True,Yes
5844-QVTAT,True,No
8905-IAZPF,True,No
5394-MEITZ,True,No
6859-QNXIQ,True,Yes
2782-LFZVW,True,Yes
2866-IKBTM,True,No
1342-JPNKI,True,Yes
2817-NTQDO,False,No phone service
7129-AZJDE,True,No
6986-IJDHX,True,No
2560-PPCHE,True,Yes
4676-MQUEA,True,Yes
8138-EALND,True,No
3580-HYCSP,True,Yes
1352-HNSAW,True,Yes
2075-PUEPR,True,No
1982-FEBTD,True,Yes
5301-GAUUY,True,Yes
5791-KAJFD,True,Yes
2654-VBVPB,True,No
1154-HYWWO,True,No
2501-XWWTZ,True,No
3716-UVSPD,True,No
6815-ABQFQ,True,Yes
7343-EOBEU,True,Yes
3701-SFMUH,True,No
6103-LIANB,True,Yes
7319-VENRZ,True,No
5846-NEQVZ,True,No
6967-QIQRV,True,No
5781-RFZRP,True,Yes
0939-YAPAF,True,Yes
0308-IVGOK,False,No phone service
7293-LSCDV,True,No
7025-WCBNE,True,Yes
5756-JYOJT,True,No
4710-FDUIZ,True,Yes
6030-REHUX,True,Yes
9548-LIGTA,True,No
5150-LJNSR,True,Yes
8270-RKSAP,True,No
6522-YRBXD,True,Yes
2640-LYMOV,True,No
1218-VKFPE,True,No
3627-FHKBK,True,No
2865-TCHJW,True,Yes
1423-BMPBQ,True,No
2393-DIVAI,True,No
5192-EBGOV,True,Yes
4568-KNYWR,True,No
8752-IMQOS,True,No
0742-LAFQK,True,Yes
0795-LAFGP,True,Yes
0619-OLYUR,True,Yes
5512-IDZEI,True,Yes
0459-SPZHJ,True,Yes
0215-BQKGS,True,No
9244-ZVAPM,True,No
0719-SYFRB,True,Yes
8208-EUMTE,False,No phone service
5172-MIGPM,True,Yes
1710-RCXUS,True,Yes
0374-FIUCA,True,No
5839-SUYVZ,True,No
5173-ZXXXL,True,No
1096-ADRUX,True,Yes
2001-MCUUW,True,Yes
2731-GJRDG,True,Yes
4723-BEGSG,True,Yes
6516-NKQBO,True,No
8672-OAUPW,True,No
8207-DMRVL,True,Yes
3419-SNJJD,True,Yes
6543-CPZMK,False,No phone service
4765-OXPPD,True,No
2804-ETQDK,True,No
6689-VRRTK,True,Yes
7138-GIRSH,True,Yes
9396-ZSFLL,True,Yes
6464-KEXXH,False,No phone service
7134-MJPDY,True,Yes
5240-CAOYT,True,Yes
4059-IIEBK,True,Yes
4881-JVQOD,False,No phone service
0516-UXRMT,True,Yes
4851-BQDNX,True,No
5148-HKFIR,True,No
1009-IRMNA,True,No
3003-CMDUU,True,No
5016-IBERQ,True,Yes
6797-UCJHZ,True,Yes
2469-DTSGX,True,Yes
4554-YGZIH,True,Yes
5099-BAILX,True,Yes
9931-KGHOA,True,Yes
1775-KWJKQ,True,Yes
7665-VIGUD,True,No
9411-TPQQV,False,No phone service
7207-RMRDB,True,Yes
7954-MLBUN,True,No
2077-DDHJK,True,Yes
4913-EHYUI,True,Yes
0195-IESCP,True,Yes
9574-BOSMD,True,Yes
4580-TMHJU,True,No
0970-ETWGE,True,No
4908-XAXAY,True,No
8404-VLQFB,True,Yes
1626-ERCMM,True,Yes
0887-HJGAR,True,No
2391-IPLOP,True,Yes
5644-PDMZC,True,Yes
3509-GWQGF,True,No
9576-ANLXO,True,No
2024-BASKD,True,No
5845-BZZIB,True,No
1140-UKVZG,True,Yes
4160-AMJTL,True,No
5183-SNMJQ,True,No
8100-PNJMH,True,Yes
7838-LAZFO,True,No
4464-JCOLN,True,No
2085-JVGAD,True,No
5650-VDUDS,False,No phone service
8095-WANWK,True,No
3030-ZKIWL,True,No
9565-FLVCG,True,Yes
8755-OGKNA,True,No
2800-VEQXM,True,No
7538-GWHML,True,No
5533-RJFTJ,False,No phone service
3859-CVCET,True,No
0214-JHPFW,False,No phone service
5642-MHDQT,True,No
3088-FVYWK,True,Yes
3276-HDUEG,True,Yes
9092-GDZKO,True,Yes
0823-HSCDJ,False,No phone service
3729-OWRVL,True,Yes
2324-AALNO,True,Yes
0822-GAVAP,False,No phone service
5760-IFJOZ,True,Yes
2826-UWHIS,True,Yes
1448-PWKYE,True,No
7501-IWUNG,True,No
4957-TREIR,True,No
7251-LJBQN,True,Yes
8040-MNRTF,True,No
1536-HBSWP,True,No
5313-FPXWG,True,Yes
0067-DKWBL,True,No
0946-FKYTX,False,No phone service
5076-YVXCM,True,Yes
8262-COGGB,True,No
6663-JOCQO,True,Yes
9620-QJREV,True,No
2276-YDAVZ,True,Yes
2682-KEVRP,True,No
2480-JZOSN,True,No
0078-XZMHT,True,Yes
5896-NPFWW,True,No
9978-HYCIN,True,No
8338-QIUNR,True,Yes
1525-LNLOJ,True,Yes
9450-TRJUU,True,Yes
1766-GKNMI,True,Yes
6942-LBFDP,True,No
1456-TWCGB,True,No
7133-VBDCG,True,No
7596-ZYWBB,True,No
8329-UTMVM,True,Yes
3014-WJKSM,True,No
3347-YJZZE,True,Yes
1029-QFBEN,True,No
7929-DMBCV,True,No
9661-JALZV,True,Yes
5433-KYGHE,True,Yes
4312-KFRXN,True,Yes
5575-TPIZQ,True,Yes
0114-IGABW,False,No phone service
9944-AEXBM,True,Yes
1853-ARAAQ,False,No phone service
6952-OMNWB,True,Yes
4697-LUPSU,True,No
8434-VGEQQ,True,No
4952-YSOGZ,True,Yes
1589-AGTLK,True,No
5244-IRFIH,True,Yes
6549-YMFAW,True,No
4950-HKQTE,True,Yes
6786-OBWQR,True,No
2684-EIWEO,True,Yes
2753-JMMCV,True,Yes
6439-GTPCA,True,Yes
6621-YOBKI,True,No
1216-JWVUX,True,No
7564-GHCVB,True,Yes
1173-NOEYG,True,Yes
7595-EHCDL,False,No phone service
6647-ZEDXT,True,Yes
2521-NPUZR,True,No
1307-TVUFB,True,Yes
7503-MIOGA,True,Yes
4381-MHQDC,True,Yes
6923-JHPMP,True,No
5138-WVKYJ,True,Yes
4018-PPNDW,True,Yes
1635-FJFCC,True,No
2499-AJYUA,True,Yes
6919-ELBGL,True,Yes
3966-HRMZA,True,No
6425-JWTDV,True,No
8405-IGQFX,True,No
8224-IVVPA,True,No
9477-LGWQI,True,No
1410-RSCMR,True,No
0139-IVFJG,True,No
6683-VLCTZ,True,Yes
5730-DBDSI,True,No
0030-FNXPP,True,No
2189-WWOEW,True,No
5684-FJVYR,True,Yes
4013-GUXND,True,No
1894-IGFSG,True,No
7379-POKDZ,True,No
1266-NZYUI,True,Yes
7969-FFOWG,True,No
4718-DHSMV,False,No phone service
5175-WLYXL,True,Yes
7817-OMJNA,True,No
8728-SKJLR,True,No
3137-NYQQI,True,No
7706-DZNKK,True,No
0236-HFWSV,True,Yes
3900-AQPHZ,True,No
5842-POCOP,True,No
2037-XJFUP,True,No
8823-RLPWL,True,Yes
9505-SQFSW,False,No phone service
7314-OXENN,True,Yes
3758-CKOQL,True,Yes
0322-CHQRU,True,No
5676-CFLYY,True,No
7521-AFHAB,True,No
0285-INHLN,True,No
4678-DVQEO,True,No
5125-CNDSP,False,No phone service
0691-IFBQW,True,Yes
4992-LTJNE,True,Yes
2202-OUTMO,True,Yes
0810-BDHAW,True,Yes
0229-LFJAF,True,Yes
7131-ZQZNK,False,No phone service
3442-ZHHCC,True,Yes
5726-CVNYA,True,No
9871-ELEYA,True,No
4257-GAESD,False,No phone service
5173-WXOQV,True,No
2040-OBMLJ,True,Yes
6286-ZHAOK,True,Yes
3807-XHCJH,True,No
3009-JWMPU,True,Yes
5671-RQRLP,True,Yes
1450-GALXR,True,Yes
8859-AXJZP,True,Yes
3174-AKMAS,True,No
3138-BKYAV,True,No
9926-PJHDQ,True,Yes
7382-DFJTU,True,No
2798-NYLMZ,True,Yes
4289-DTDKW,True,Yes
1820-TQVEV,True,No
2239-JALAW,True,Yes
4853-RULSV,True,Yes
8098-TDCBU,True,Yes
3551-GAEGL,False,No phone service
4785-NKHCX,True,No
3196-NVXLZ,True,Yes
6275-YDUVO,True,No
0036-IHMOT,True,No
0115-TFERT,True,Yes
4178-EGMON,True,Yes
4220-TINQT,True,Yes
5318-YKDPV,True,No
7975-TZMLR,True,Yes
0295-QVKPB,True,No
4335-BSMJS,True,Yes
2311-QYMUQ,True,No
3643-AHCFP,True,Yes
9146-JRIOX,True,Yes
3104-OWCGK,True,No
5337-IIWKZ,False,No phone service
9101-BWFSS,True,Yes
9650-VBUOG,True,Yes
3487-EARAT,True,No
2672-TGEFF,True,Yes
9231-ZJYAM,True,No
4250-WAROZ,True,Yes
8184-WMOFI,True,No
6982-SSHFK,True,No
6092-QZVPP,True,No
4625-LAMOB,True,No
0727-BMPLR,True,Yes
0392-BZIUW,True,Yes
1038-ZAGBI,True,No
6549-NNDYT,False,No phone service
3027-ZTDHO,True,No
0422-OHQHQ,True,No
6916-HIJSE,True,No
2316-ESMLS,False,No phone service
9778-OGKQZ,True,Yes
7408-OFWXJ,True,Yes
6007-TCTST,True,Yes
2252-NKNSI,True,Yes
8713-IGZSO,True,Yes
7905-TVXTA,True,No
7695-PKLCZ,True,No
2382-BCKQJ,True,Yes
8374-UULRV,True,Yes
2207-NHRJK,True,No
3224-DFQNQ,True,Yes
5275-PMFUT,False,No phone service
4795-UXVCJ,True,No
9777-IQHWP,True,Yes
0947-MUGVO,True,No
9944-HKVVB,True,No
4124-MMETB,True,Yes
3671-SHRSP,True,No
0979-MOZQI,False,No phone service
2732-ISEZX,True,No
3313-QKNKB,True,Yes
0323-XWWTN,True,Yes
1937-OTUKY,True,Yes
1573-LGXBA,True,No
1764-VUUMT,True,No
5073-WXOYN,False,No phone service
4713-ZBURT,True,Yes
3050-GBUSH,False,No phone service
0207-MDKNV,True,No
7876-AEHIG,False,No phone service
7945-HLKEA,True,Yes
9342-VNIMQ,True,Yes
9851-KIELU,True,No
3523-BRGUW,True,No
3908-BLSYF,True,No
3199-NPKCN,True,Yes
5170-PTRKA,False,No phone service
4661-NJEUX,True,No
2123-AGEEN,True,No
1258-YMZNM,True,Yes
0048-LUMLS,True,No
7549-MYGPK,True,Yes
5898-IGSLP,True,Yes
3804-RVTGV,True,Yes
6259-WJQLC,True,Yes
9227-LUNBG,False,No phone service
7997-EASSD,True,Yes
0730-KOAVE,True,Yes
8975-SKGRX,True,Yes
0678-RLHVP,True,Yes
4315-MURBD,True,No
2267-FPIMA,True,Yes
1051-GEJLJ,True,No
9734-YWGEX,True,Yes
2719-BDAQO,True,No
5285-MVEHD,True,No
0379-DJQHR,True,No
0781-LKXBR,True,Yes
5543-QDCRY,True,No
0297-RBCSG,True,No
4694-PHWFW,True,No
0835-JKADZ,True,Yes
1907-UBQFC,True,No
7508-SMHXL,True,Yes
3865-YIOTT,True,Yes
5993-BQHEA,True,No
6024-RUGGH,True,Yes
6513-EECDB,True,Yes
3956-CJUST,True,No
4079-WWQQQ,False,No phone service
6103-BOCOU,True,Yes
5149-TGWDZ,True,No
7471-WNSUF,True,Yes
8942-DBMHZ,True,No
4301-VVZKA,True,Yes
9199-PWQVC,True,Yes
4824-GUCBY,True,No
5393-HJZSM,True,No
7074-IEVOJ,True,Yes
9625-QSTYE,True,No
0862-PRCBS,True,Yes
8812-ZRHFP,True,No
5146-CBVOE,True,No
0454-OKRCT,True,No
5787-KXGIY,True,No
4750-ZRXIU,True,Yes
4198-VFOEA,False,No phone service
6630-UJZMY,True,Yes
6400-BWQKW,True,Yes
2692-AQCPF,True,Yes
0347-UBKUZ,True,No
0835-DUUIQ,True,No
0811-GSDTP,False,No phone service
7567-ECMCM,True,No
6115-ZTBFQ,False,No phone service
6353-BRMMA,True,Yes
6680-WKXRZ,True,Yes
6231-WFGFH,True,No
9904-EHEVJ,True,Yes
7028-DVOIQ,True,Yes
6169-PPETC,True,No
4208-UFFGW,True,No
8584-KMVXD,True,No
8467-WYNSR,True,No
0851-DFJKB,True,No
5382-SOYZL,True,Yes
9448-REEVD,True,No
3261-CQXOL,True,Yes
8388-FYNPZ,True,No
4002-BQWPQ,True,Yes
5651-YLPRD,True,No
2826-DXLQO,False,No phone service
4378-BZYFP,True,No
9489-UTFKA,True,No
4849-PYRLQ,True,Yes
9117-SHLZX,True,No
9889-TMAHG,True,No
4541-RMRLG,True,No
7764-BDPEE,True,No
3429-IFLEM,True,No
3158-MOERK,True,Yes
7294-TMAOP,True,No
5002-GCQFH,True,Yes
0556-FJEGU,True,No
8919-FYFQZ,False,No phone service
0604-THJFP,True,No
2834-JRTUA,True,Yes
5875-YPQFJ,True,No
5879-SESNB,True,Yes
6646-QVXLR,True,Yes
6461-PPAXN,True,No
3318-ISQFQ,True,No
1106-HRLKZ,True,No
2483-XSSMZ,True,No
8603-IJWDN,True,Yes
8165-ZJRNM,True,Yes
